file	line	kind	name	ext_prod_files	ext_test_files	verdict
crates/core/src/metrics/collector/sampler.rs	308	fn	draft_metrics_snapshot	1	4	USED
crates/core/src/metrics/collector/sampler.rs	323	fn	get_counter	3	2	USED
crates/core/src/metrics/collector/sampler.rs	335	fn	get_gauge	2	1	USED
crates/core/src/metrics/lock_free.rs	89	fn	with_capacity	26	2	USED
crates/core/src/metrics/lock_free.rs	116	fn	record_tokens	4	0	USED
crates/core/src/metrics/lock_free.rs	121	fn	record_request	2	0	USED
crates/core/src/metrics/lock_free.rs	128	fn	record_latency	4	1	USED
crates/core/src/metrics/lock_free.rs	133	fn	record_batch_size	4	0	USED
crates/core/src/metrics/lock_free.rs	139	fn	record_request_start	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	145	fn	record_request_end	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	151	fn	record_kv_cache_usage	2	1	USED
crates/core/src/metrics/lock_free.rs	158	fn	record_prefix_cache_hit	1	1	USED
crates/core/src/metrics/lock_free.rs	164	fn	record_prefix_cache_request	1	1	USED
crates/core/src/metrics/lock_free.rs	169	fn	record_prefill_tokens	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	174	fn	record_decode_tokens	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	180	fn	record_scheduler_wait_time	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	186	fn	requests_total	5	1	USED
crates/core/src/metrics/lock_free.rs	192	fn	prefix_cache_hits	2	0	USED
crates/core/src/metrics/lock_free.rs	198	fn	prefix_cache_requests	2	0	USED
crates/core/src/metrics/lock_free.rs	210	fn	snapshot	15	5	USED
crates/core/src/metrics/lock_free.rs	318	fn	new	225	88	USED
crates/core/src/metrics/types.rs	18	fn	name	45	15	USED
crates/core/src/metrics/types.rs	48	fn	increment	5	2	USED
crates/core/src/metrics/types.rs	56	fn	set	32	9	USED
crates/core/src/metrics/types.rs	64	fn	as_u64	5	0	USED
crates/core/src/metrics/types.rs	81	fn	new	225	88	USED
crates/core/src/metrics/types.rs	86	fn	with	147	52	USED
crates/core/src/metrics/types.rs	92	fn	as_slice	5	0	USED
crates/core/src/metrics/exporter/mod.rs	44	fn	record	8	7	USED
crates/core/src/metrics/exporter/mod.rs	57	fn	snapshot	15	5	USED
crates/core/src/metrics/exporter/mod.rs	92	fn	default_arc	9	3	USED
crates/core/src/scheduler/memory/allocator.rs	51	fn	new	225	88	USED
crates/core/src/scheduler/memory/allocator.rs	79	fn	allocate	9	5	USED
crates/core/src/scheduler/memory/allocator.rs	127	fn	free	16	5	USED
crates/core/src/scheduler/memory/allocator.rs	171	fn	stats	9	3	USED
crates/core/src/scheduler/memory/eviction.rs	42	fn	new	225	88	USED
crates/core/src/scheduler/memory/eviction.rs	51	fn	select_victims	2	3	USED
